"","prec_num","approx_year_built","cats_allowed","common_charges","community_district_num","coop_condo","date_of_sale","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_floors_in_building","num_full_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","listing_price_to_nearest_1000","zipcodes","num_train","num_liq","num_crimes"
"1",103,1950,"no",460.7,29,"co-op",16938,"combo","no","gas","NA","eat in",539,1,2,1,4,63.3,38.5,109500,700,1281.01,73,162215,11422,1,10,7313
"2",103,1950,"no",460.95,29,"co-op",16888,"combo","no","gas","NA","eat in",576,1,2,1,4,71.4,36.04,106000,648.45,1127,82,155320,11422,2,10,7313
"3",103,1950,"no",456.09,29,"co-op",16905,"combo","no","gas","NA","eat in",573,1,2,1,4,68.34,36.25,113000,647.12,1127,72,156205,11422,1,10,7313
"4",105,1950,"yes",411.646666666667,26,"co-op",17148,"combo","yes","gas","NA","efficiency",616,1,2.63,1,3,64.51,36.4433333333333,210000,703.533333333333,1261.28,79,239800,11004,0,8,7225
"5",105,1950,"no",422.04,26,"co-op",17127,"combo","no","gas","NA","eat in",585,1,2,1,3,63.16,34.9633333333333,199900,706.616666666667,1099.33,79,232050,11004,0,8,7225
"6",106,1960,"yes",569.01,27,"co-op",16990,"combo","no","oil","NA","efficiency",593,1,6,1,4,30,49.28,124000,648.94,2188.958,77,165545,11414,0,11,5832
"7",106,1960,"yes",431.42,27,"co-op",16988,"formal","no","gas","NA","efficiency",673,1,6,1,4,70,40,123000,675.87,1580.978,77,174505,11414,0,11,5832
"8",106,1964,"yes",662.61,27,"co-op",16909,"formal","yes","gas","NA","efficiency",732,2,2,1,5,46.4033333333333,49.44,145000,822.47,2628.38,73,190210,11414,0,10,5832
"9",106,1965,"yes",486.51,27,"co-op",16896,"formal","no","oil","NA","efficiency",733,1,6,1,3,70,43.01,96000,665.49,2212.618,73,171787.5,11414,0,10,5832
"10",106,1965,"yes",518,27,"co-op",16912,"other","no","gas","NA","efficiency",745,1,6,1,3,65.2666666666667,43.52,1e+05,629.63,2205.558,77,157660,11414,0,11,5832
"11",106,1960,"yes",361.676666666667,27,"co-op",17088,"combo","yes","oil","NA","efficiency",544,1,2,1,3,14,43.6083333333333,130000,646.605,2087.06,68,191816.666666667,11414,0,7,5832
"12",106,1977,"yes",191,27,"condo",17183,"combo","yes","gas","NA","efficiency",541.55,0,3,1,2,80,34.5133333333333,129700,612.9,1216,73,271546.666666667,11414,0,10,5832
"13",106,1959,"yes",442.67,27,"co-op",17134,"formal","yes","gas","NA","efficiency",713,2,2,1,5,55.07,39.7833333333333,155000,844.8,2240.39,73,223552,11414,0,10,5832
"14",106,1965,"yes",561.35,27,"co-op",16923,"other","no","gas","NA","efficiency",753,1,6,1,3,62.5966666666667,48.75,82000,629.08,2248.048,77,155390,11414,0,10,5832
"15",106,1964,"no",864,27,"condo",16981,"formal","no","oil","NA","efficiency",1277.75,3,6,2,6,30,47.03,355000,1408.27,4958,77,399615,11414,0,11,5832
"16",106,1963,"yes",389.816666666667,27,"co-op",17140,"combo","yes","gas","NA","efficiency",740,1,2,1,3,68.58,33.1433333333333,152500,722.136666666667,1136.79,72,197560,11414,0,10,5832
"17",106,1965,"yes",853.692,27,"co-op",16939,"formal","yes","oil","NA","efficiency",1148,3,2,1,6,50,48.805,231000,1059,3345.72,77,249730,11414,0,10,5832
"18",106,1982,"yes",275,27,"condo",17106,"combo","yes","gas","yes","efficiency",659.915,1,3,2,4,84.8233333333333,38.62,2e+05,845.82,1948,73,346774,11417,0,14,5832
"19",106,1960,"yes",599.93,27,"co-op",17018,"combo","no","gas","NA","efficiency",687,1,5.25,1,3,60.3933333333333,49.71,140000,696.09,2100.168,77,187681.666666667,11414,0,11,5832
"20",106,1960,"yes",424.92,27,"co-op",17011,"combo","no","gas","NA","efficiency",550,1,5.13,1,3,74.52,42.25,66000,636.035,2041.238,76,173844.166666667,11414,0,9,5832
"21",106,1966,"yes",330.206666666667,27,"condo",17028,"combo","yes","gas","NA","efficiency",512,1,6,1,3,89.51,41.36,259000,670.96,2220,76,298350,11414,0,11,5832
"22",106,1960,"yes",386.336666666667,27,"co-op",17142,"combo","yes","oil","NA","efficiency",663,1,2,1,3,66.67,36.4033333333333,95000,664.616666666667,1383.1,69,189656.666666667,11414,0,8,5832
"23",106,1950,"yes",621.85,27,"co-op",16961,"combo","no","gas","NA","combo",634,1,1,1,4,44.2333333333333,50.16,120000,800,2300.11666666667,77,170785,11414,0,10,5832
"24",106,2003,"no",426,27,"condo",17191,"formal","no","gas","NA","efficiency",847.14,2,3,2,5,30,32.7033333333333,465000,1141.81,945,81,468670,11417,0,15,5832
"25",106,1960,"yes",766,27,"co-op",16871,"formal","no","gas","NA","efficiency",850,2,6,2,5,47.97,49.36,255000,1091.71,3325.40285714286,77,252396.666666667,11414,0,11,5832
"26",106,1960,"no",507.81,27,"co-op",17155,"formal","no","gas","NA","efficiency",713,2,2,1,5,52.8133333333333,39.6533333333333,132000,830.543333333333,2088.008,77,218848.666666667,11414,0,8,5832
"27",106,1965,"yes",515,27,"condo",16974,"formal","yes","gas","NA","efficiency",1080.295,2,5.585,2,5,30,40.95,285000,1153.83,3550,76,303840,11414,0,10,5832
"28",106,1960,"yes",654.76,27,"co-op",17002,"formal","no","oil","NA","efficiency",731,2,6,1,4,20,50,130000,788.65,2617.02,77,198840,11414,0,10,5832
"29",106,1965,"yes",663.33,27,"co-op",17088,"combo","no","oil","NA","eat in",708,2,6,1,4,21,49.79,150000,797.1,2951.01,77,225180,11414,0,11,5832
"30",106,1965,"yes",334.366666666667,27,"co-op",17135,"combo","no","gas","NA","efficiency",520,1,6,1,2,83.01,33.0233333333333,89000,632.145,1016.26,76,196096.666666667,11414,0,11,5832
"31",106,1965,"no",557.44,27,"co-op",17018,"combo","no","oil","NA","efficiency",397,0,6.68,1,2,85.3983333333333,49.13,55000,531.74,2131.968,76,155450,11414,0,9,5832
"32",106,1965,"yes",358,27,"condo",17099,"combo","yes","gas","NA","efficiency",696.365,1,6,1,4,30,40.61,174000,797.94,2982,76,289734,11414,0,10,5832
"33",106,1963,"yes",687.73,27,"co-op",17028,"formal","yes","oil","NA","efficiency",763,2,2,1,5,49.3333333333333,49.55,132000,889.09,2737.27,70,215976.666666667,11414,0,8,5832
"34",106,1955,"yes",609.1,27,"co-op",16904,"combo","no","gas","NA","efficiency",581,1,6,1,3,21,49.64,155000,675.52,2304.988,77,159593.666666667,11414,0,11,5832
"35",106,1930,"yes",722.75,27,"co-op",16885,"other","no","oil","NA","efficiency",857,2,3.67,1,5,22,50.2155555555556,154000,868.58,2581.94,77,200118,11414,0,11,5832
"36",107,1965,"yes",430.94,28,"co-op",16966,"combo","yes","oil","yes","efficiency",487,1,12,1,3,121.256666666667,35,142000,664.66,1296.95,88,164976.666666667,11435,2,20,4682
"37",107,1938,"no",400.86,28,"co-op",17164,"other","no","oil","yes","efficiency",710,1,6,1,3,145.14,38.4,245000,728.661428571429,2119.88,93,298200,11375,2,19,4682
"38",107,1989,"no",305,29,"condo",16902,"combo","no","gas","NA","efficiency",636.785,2,3,2,8,157.47,34.87,420000,1000,1400,94,435800,11432,0,18,4682
"39",107,1980,"no",287,26,"condo",16927,"formal","no","gas","NA","eat in",1293.16,3,2,2,6,122.41,38.47,590000,1410.69333333333,2961,75,621600,11364,0,4,4682
"40",107,1963,"no",704.06,28,"co-op",16860,"formal","no","gas","NA","efficiency",1459,2,1,2,5,215,48.36,289550,1163.72,3270.38,91,332166.666666667,11415,1,20,4682
"41",107,1928,"no",658,26,"co-op",17060,"combo","no","oil","NA","eat in",880,2,4.52,1,5,80.35,48.8,395000,985.04,3062.89,65,388610,11363,2,5,4682
"42",107,1990,"no",198,28,"condo",16982,"formal","no","gas","NA","eat in",750.86,3,3,1,6,169.97,31.64,160000,1000,1024,90,327180,11433,1,20,4682
"43",107,1950,"no",479.95,28,"co-op",16925,"other","no","gas","NA","eat in",499,1,4.85,1,3,90.59,41.72,185000,632.17,1815.51,85,169411.111111111,11435,2,20,4682
"44",107,1955,"no",681.14,28,"co-op",17142,"combo","no","oil","NA","combo",796,1,6,1,4,127.705,49.78,175000,780,2367.18,92,236123.333333333,11415,2,20,4682
"45",107,1954,"no",489.49,28,"co-op",16965,"combo","no","gas","NA","eat in",779,2,3.99,1,6,73.55,25,130000,961.01,1099.18,79,196490,11423,1,12,4682
"46",107,1938,"yes",671.51,28,"co-op",17001,"formal","yes","oil","NA","efficiency",789,2,6,1,4,162.28,50.05,257000,897.865714285714,2774.37,91,276260,11415,1,20,4682
"47",107,1987,"yes",243,28,"condo",17043,"combo","yes","gas","NA","eat in",760.543333333333,2,2,2,4,225,39.46,470000,1096,2600,92,515340,11415,1,20,4682
"48",107,1958,"no",708.02,28,"co-op",17043,"combo","no","oil","NA","efficiency",814,1,9,1,3,123.265,49.495,129000,744.773333333333,2070.25,97,193132.5,11432,1,20,4682
"49",107,2010,"yes",462,27,"condo",16948,"other","yes","gas","yes","combo",889.95,2,8,2,4,136.61,34.56,630000,1172,22,89,641360,11415,1,20,4682
"50",107,1950,"no",452.91,28,"co-op",17205,"combo","no","gas","NA","eat in",725,2,6,1,4,125,35.9533333333333,216000,855.42,1213.72,83,252681.111111111,11435,1,20,4682
"51",107,1958,"yes",633.78,28,"co-op",16968,"combo","yes","oil","NA","efficiency",727,1,7,1,3,89.21,50.01,160000,800,2139.03666666667,85,171863.333333333,11435,1,20,4682
"52",107,1950,"yes",756.24,26,"co-op",16897,"formal","no","gas","NA","efficiency",601,3,2,1,6,67.72,49.835,270000,920.08,2933.535,75,285110,11364,0,5,4682
"53",107,1950,"no",465.3,28,"co-op",17119,"combo","no","gas","yes","combo",503,1,6,1,3,125,34.46,142000,750,987.26,83,197346.666666667,11435,1,20,4682
"54",107,1955,"yes",780.16,28,"co-op",16982,"other","no","oil","yes","combo",806,2,6,1,5,130,50,276000,1016.93,2766.18,90,284720,11435,2,20,4682
"55",107,1951.825,"yes",417.78,26,"co-op",17176,"combo","yes","gas","NA","eat in",746,2,2,1,4,67.56,38.1073333333333,258000,822.05,2067.52,70,286010,11364,0,5,4682
"56",107,1938,"no",508,28,"condo",17023,"combo","no","oil","NA","efficiency",658.91,1,8.36,1,2,205.78,40.69,420000,778,3316,95,466940,11375,2,20,4682
"57",107,1950,"no",436.836666666667,26,"co-op",17184,"combo","no","gas","NA","efficiency",713,1,3,1,4,95.83,34.0533333333333,195500,758.736666666667,1007.06,88,231877.333333333,11364,1,7,4682
"58",107,1955,"no",688.098,26,"co-op",17045,"combo","no","gas","yes","eat in",601,2,2,1,4,69.03,49.8375,222000,783.865,2736.95,68,256873.333333333,11364,0,5,4682
"59",107,1974,"no",405.25,28,"co-op",17098,"combo","no","gas","NA","efficiency",601,0,20,1,2,145.241333333333,40.71,125000,618.173333333333,2231.34,93,200026.666666667,11415,2,20,4682
"60",107,1963,"no",562.28,28,"co-op",16974,"combo","no","oil","yes","efficiency",612,0,27,1,2,215,48.175,120000,581.52,2371.05666666667,91,174399.166666667,11415,1,20,4682
"61",107,1949,"yes",416.118,26,"co-op",17091,"combo","yes","oil","NA","eat in",637,2,2,1,4,66.87,40.74,225000,776.123333333333,2374.35,65,259470,11364,0,5,4682
"62",107,1983,"yes",187,26,"condo",16968,"formal","yes","gas","NA","eat in",480.208333333333,1,1,1,3,131.93,40.37,408000,702.46,2138,75,399727.5,11364,0,4,4682
"63",107,1950,"yes",633.12,26,"co-op",16976,"formal","no","gas","NA","eat in",463,2,2,1,4,9,60,212000,760.67,2617.10666666667,76,222415,11364,0,4,4682
"64",107,1974,"no",832.18,28,"co-op",17164,"formal","no","oil","NA","efficiency",1141,2,21,1,5,115,50,388000,950,3895.3,93,408925,11415,2,20,4682
"65",107,1960,"yes",374.93,27,"co-op",17142,"formal","no","oil","NA","eat in",520,1,5.05,1,4,68.41,36.1833333333333,150000,674.39,1308.22,78,201088,11421,0,19,4682
"66",107,1950,"no",617.18,26,"co-op",16924,"combo","no","gas","NA","efficiency",575,1,6,1,4,55.23,50,165000,699.81,2248.95,77,175782,11364,0,5,4682
"67",107,1929,"no",712.78,28,"co-op",17060,"combo","no","oil","NA","eat in",902,1,6,1,4,138.345,50,174000,843.143333333333,2540.51,92,231040,11415,1,20,4682
"68",107,1938,"yes",754.49,28,"co-op",16849,"combo","yes","oil","NA","eat in",932,2,6,1,4,132.83,49.78,250000,1000,3081.735,90,274650,11415,1,20,4682
"69",107,1953,"no",615.54,29,"co-op",17094,"combo","no","gas","NA","efficiency",661,1,6,1,3,85,50,134000,575,1779.69,83,177976.666666667,11432,0,20,4682
"70",107,1956,"no",676.86,28,"co-op",16861,"combo","no","oil","NA","eat in",791,1,7,1,3,127.391666666667,50,175000,805.87,2422.78,92,204093.333333333,11415,1,20,4682
"71",107,1950,"no",691.4,26,"co-op",16980,"combo","no","gas","NA","eat in",632,2,2,1,5,44.838,50.42,220000,826.09,2696.87666666667,70,227330,11364,0,5,4682
