"","approx_year_built","cats_allowed","common_charges","community_district_num","coop_condo","date_of_sale","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_floors_in_building","num_full_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","listing_price_to_nearest_1000","zipcodes"
"1",1955,"no",767,25,"co-op",16847,"combo","no","gas","NA","eat in",995.895,2,6,1,5,45.41,50.15,228000,1011.78,3235.085,82,248405,11355
"2",1955,"no",635.556,25,"co-op",16847,"formal","no","oil","NA","eat in",604,1,7,1,4,100.206666666667,49.19,235500,890,3142.5,89,254510,11354
"3",2004,"no",167,24,"condo",16848,"combo","no","gas","NA","efficiency",535.91,1,1,1,3,165.97,41.69,137550,550,5500,90,321106.666666667,11368
"4",2002,"no",275,25,"condo",16848,"combo","no","gas","NA","eat in",664.07,3,5.06,2,5,130.18,38.62,545000,995.34,2260,94,579136.666666667,11354
"5",1949,"yes",480.896666666667,26,"co-op",16849,"combo","yes","gas","NA","eat in",660,2,2,1,4,61.31,39,241700,675,1551.15,71,214055,11426
"6",1938,"yes",754.49,28,"co-op",16849,"combo","yes","oil","NA","eat in",932,2,6,1,4,132.83,49.78,250000,1000,3081.735,90,274650,11415
"7",1950,"no",494.25,29,"co-op",16850,"combo","no","gas","NA","efficiency",660,1,3.6,1,3,66.45,38.77,145000,662.56,1698.68,72,155770,11423
"8",1960,"no",433.21,28,"co-op",16850,"combo","no","gas","NA","efficiency",514,0,2,1,2,128.26,42.78,109000,375,2238.70333333333,93,148810,11375
"9",1960,"no",681.12,25,"co-op",16853,"combo","no","oil","NA","eat in",781,1,6.65,1,4,20,49.07,212000,865.49,2900.51,70,228691.666666667,11360
"10",2005,"no",335.862647058823,30,"condo",16853,"other","no","gas","NA","eat in",443.58,1,4,1,3,234.1,38.88,535000,681,1320,98,590120,11102
"11",1982,"no",821,25,"condo",16854,"formal","no","gas","yes","eat in",1709.10333333333,2,22,2,5,100.090714285714,45.6,675000,1628.28,5400,82,828050,11360
"12",1982,"no",546,25,"condo",16856,"combo","no","oil","yes","eat in",793.91,1,21,1,4,110.022647058824,44.73,468000,881.9525,3500,82,513220,11360
"13",1961,"yes",707.76,26,"co-op",16857,"combo","no","gas","NA","eat in",829,2,1,1,4,53.53,50.46,220000,889.32,2960.45,78,234523,11362
"14",1960,"yes",730.95,25,"co-op",16857,"combo","no","oil","NA","combo",986,3,2,1,5,20,49.105,280000,950,3215.28,79,286215,11357
"15",1985,"no",238,25,"condo",16857,"formal","yes","gas","yes","eat in",959.95,3,3,2,6,118.22,39.94,533000,1100,3333,85,557336.666666667,11365
"16",1960,"no",730.3,25,"co-op",16857,"combo","no","oil","NA","combo",1000,2,6,2,5,81.4655555555556,48.21,370000,1300,3533.72285714286,88,342936.666666667,11355
"17",1962,"no",781.503333333333,8,"co-op",16857,"formal","no","other","NA","combo",1116.76,2,10.74,2,5,119.535555555556,48.53,392000,1236.95,3499.69285714286,88,381746.666666667,11374
"18",1955,"yes",614.95,28,"co-op",16857,"combo","yes","oil","NA","efficiency",587,1,6,1,3,138.031666666667,49.42,2e+05,706.96,2463.8,90,208285,11375
"19",1963,"no",704.06,28,"co-op",16860,"formal","no","gas","NA","efficiency",1459,2,1,2,5,215,48.36,289550,1163.72,3270.38,91,332166.666666667,11415
"20",1960,"no",605.04,28,"co-op",16861,"combo","no","oil","NA","efficiency",655,1,12,1,3,146.171666666667,49.26,140000,700.355,2498.45,90,171892.5,11415
"21",1956,"no",676.86,28,"co-op",16861,"combo","no","oil","NA","eat in",791,1,7,1,3,127.391666666667,50,175000,805.87,2422.78,92,204093.333333333,11415
"22",1956,"yes",509.65,29,"co-op",16863,"combo","no","oil","NA","efficiency",660,1,2,1,4,60.52,39.06,150000,654.05,1599.32,72,166730,11423
"23",2008,"no",510,24,"condo",16863,"combo","no","gas","NA","efficiency",753.48,3,9,2,7,111.56,32.94,5e+05,991,373,87,509610,11373
"24",1948,"no",687.44,28,"co-op",16864,"formal","no","oil","NA","efficiency",963,1,4.48,1,4,75,49.055,105000,786.37,1926.21,86,155050,11435
"25",1958,"no",810.68,24,"co-op",16864,"other","no","oil","NA","eat in",830,3,6,1,5,111.476666666667,48.745,270000,1150,3408.92,96,324940,11372
"26",1955,"no",564.21,26,"co-op",16867,"combo","no","gas","NA","efficiency",512,1,2,1,3,61.8658333333333,49.41,130000,597.24,2044.63,57,148650,11427
"27",1984,"yes",385,24,"condo",16867,"other","no","gas","NA","eat in",672.8,2,3,1,5,113.03,40.19,527000,1000,3186,68,521370,11379
"28",1954,"yes",599.74,25,"co-op",16867,"formal","no","gas","NA","efficiency",733,2,2,1,5,20,48.49,350000,940.68,2939.175,70,299030,11360
"29",1961,"no",909.40375,26,"co-op",16868,"combo","no","other","NA","efficiency",1103,2,14,1,5,73.1533333333333,48.07,365000,1076.17,3904.36071428571,64,335150,11361
"30",1952,"no",707.26,28,"co-op",16868,"combo","no","oil","NA","efficiency",786,2,6,1,4,132.296666666667,49.86,290000,913.710714285714,3017.105,94,327000,11375
"31",1928,"yes",603.03,30,"co-op",16868,"other","yes","gas","NA","eat in",664.006666666667,1,6.69,1,3,147.386666666667,48.9,285000,850,2881.435,98,319340,11372
"32",1960,"no",748.07,26,"co-op",16870,"combo","no","gas","NA","combo",855,2,6,1,4,100,49.08,380000,900,3528.35,68,336250,11363
"33",1960,"yes",766,27,"co-op",16871,"formal","no","gas","NA","efficiency",850,2,6,2,5,47.97,49.36,255000,1091.71,3325.40285714286,77,252396.666666667,11414
"34",1965,"yes",656.37,24,"co-op",16874,"combo","yes","gas","NA","eat in",685,1,20,1,3,70,45,175000,750,2943.93071428571,73,212570,11385
"35",1952,"no",583.89,25,"co-op",16874,"formal","no","gas","NA","efficiency",500,1,3.73,1,3,55.1183333333333,48.835,138000,619.64,2240.808,80,156666.666666667,11357
"36",2015,"yes",406,30,"condo",16874,"combo","yes","gas","NA","eat in",487.28,1,8,1,3,263.21,39.66,570000,784.46,16,96,642460,11101
"37",2015,"yes",468,30,"condo",16874,"combo","yes","gas","NA","eat in",475.55,1,8,1,3,261.76,39.88,605000,530,19,96,649990,11101
"38",1955,"yes",625.41,26,"co-op",16881,"combo","yes","gas","NA","efficiency",669,1,2,1,4,57.92,49.52,175500,676.6,2453.25,55,191642,11364
"39",1960,"no",802.73,25,"co-op",16882,"formal","no","gas","NA","eat in",845,2,6,1,6,20,49.12,222500,950,2998.59,70,249050,11360
"40",1969,"no",354.084,25,"co-op",16882,"formal","no","oil","yes","eat in",1827,2,17,2,5,135,40,6e+05,1304.42,3700.32266666667,76,648095,11360
"41",1960,"no",766.01,25,"co-op",16883,"combo","no","gas","NA","eat in",1201,2,6,1,5,26,49.45,260000,1070.02,3579.275,80,273750,11360
"42",1952,"yes",632.92,30,"co-op",16883,"other","yes","gas","NA","efficiency",543,1,9,1,3,95,48.96,220000,733.32,2669.12,98,228752.5,11372
"43",1930,"yes",722.75,27,"co-op",16885,"other","no","oil","NA","efficiency",857,2,3.67,1,5,22,50.2155555555556,154000,868.58,2581.94,77,200118,11414
"44",1955,"no",625.06,26,"co-op",16885,"combo","no","oil","NA","efficiency",664,1,2,1,3,49.6333333333333,50,155000,677.885,2224.198,82,168528.666666667,11362
"45",1955,"yes",698.46,28,"co-op",16885,"other","yes","gas","NA","efficiency",739,2,6,1,5,146.29,49.22,327000,984,3305.32,93,312450,11374
"46",1950,"no",460.95,29,"co-op",16888,"combo","no","gas","NA","eat in",576,1,2,1,4,71.4,36.04,106000,648.45,1127,82,155320,11422
"47",1961,"no",852.86,24,"co-op",16888,"combo","no","oil","NA","efficiency",813,2,6,2,6,99.4766666666667,48.88,260000,1200,3257.87,88,292456.666666667,11368
"48",1950,"yes",456.24,26,"co-op",16890,"combo","yes","oil","NA","combo",684,1,2,1,4,61.76,41.25,135000,590,2282.15,58,173150,11004
"49",1945,"no",496.21,29,"co-op",16890,"combo","no","oil","NA","efficiency",720,2,2,1,4,64.62,38.6,124000,702,1619.61,73,170180,11413
"50",1941,"no",769.83,28,"co-op",16890,"formal","no","gas","NA","combo",910,2,6,1,4,152.99,48.97,340000,1000,3251.455,93,332270,11375
"51",1955,"no",737.88,25,"co-op",16891,"combo","no","gas","NA","eat in",814,2,6,1,4,51.7,49.75,233000,924.415714285714,3035.21,85,243975,11354
"52",1968,"no",533.636666666667,24,"co-op",16892,"formal","no","gas","NA","efficiency",392,1,6.96,1,4,128.576666666667,46.01,127500,639.7,2252.93466666667,88,181537.5,11374
"53",1985,"no",210,25,"condo",16892,"combo","no","gas","NA","combo",518.443333333333,1,9,1,3,187.97,41.76,440000,689,2776,93,471816.666666667,11355
"54",1985,"no",426.73,25,"condo",16892,"combo","no","gas","NA","efficiency",495,2,10,1,5,118.948888888889,39.55,610000,954.405,5920,94,643590,11354
"55",1952,"no",512.21,28,"co-op",16892,"combo","no","oil","NA","efficiency",724,1,6,1,3,100,40,131000,750,1512.13,97,157550,11435
"56",1950,"no",772.68,26,"co-op",16895,"combo","no","oil","NA","eat in",846,3,2,1,5,53.69,50.035,275000,980.9,3040.94,77,278028,11362
"57",1965,"yes",486.51,27,"co-op",16896,"formal","no","oil","NA","efficiency",733,1,6,1,3,70,43.01,96000,665.49,2212.618,73,171787.5,11414
"58",1950,"yes",756.24,26,"co-op",16897,"formal","no","gas","NA","efficiency",601,3,2,1,6,67.72,49.835,270000,920.08,2933.535,75,285110,11364
"59",1961,"yes",562.52,26,"co-op",16897,"formal","no","gas","NA","eat in",1118,3,1,2,5,95,46.36,390000,1276.19,3199.39,76,364901.666666667,11362
"60",1949,"no",697.08,28,"co-op",16897,"combo","no","oil","NA","eat in",750,1,6,1,3,125,50,235000,784.87,2655.36,90,235803.333333333,11375
"61",1960,"yes",781.53,28,"co-op",16897,"combo","yes","gas","NA","efficiency",1124,3,12,1,5,170,48.125,436000,1077.02,3257.125,90,449985,11374
"62",1969,"no",564.716666666667,28,"co-op",16898,"combo","no","gas","NA","combo",575,1,6,1,4,127.944666666667,50,145000,673.85,2168.15666666667,90,175980,11415
"63",1949,"no",535,26,"condo",16899,"formal","no","gas","NA","eat in",1193.23166666667,1,8.31333333333333,2,6,95.145,40.68,420000,1300.52,4300,48,481151.666666667,11364
"64",1960,"no",527.42,29,"co-op",16902,"combo","no","gas","NA","eat in",660,1,6.34,1,3,61.68,43.33,130000,750,1943.54,77,162270,11423
"65",1989,"no",305,29,"condo",16902,"combo","no","gas","NA","efficiency",636.785,2,3,2,8,157.47,34.87,420000,1000,1400,94,435800,11432
"66",1964,"no",583.5,28,"co-op",16902,"formal","no","oil","NA","eat in",860,1,23,1,3,163.876666666667,45,275000,825,3030.915,97,304240,11375
"67",1950,"yes",607.12,24,"co-op",16902,"combo","yes","gas","NA","eat in",722,1,5.52,1,3,156.15,50.27,237000,795.39,2710.1,97,250783.333333333,11104
"68",1970,"yes",672.525,25,"co-op",16903,"formal","yes","gas","NA","efficiency",2172,3,9.045,2,7,80,40,4e+05,1800,3474.65666666667,76,482891.666666667,11360
"69",1936,"yes",695.4,28,"co-op",16903,"other","yes","gas","NA","eat in",869,1,6,1,3,90.055,49,235000,1000,2825.85,84,244850,11415
"70",2015,"yes",461,30,"condo",16903,"combo","yes","gas","NA","eat in",455.09,0,8,1,3,264,40.16,596000,532,51,96,638290,11101
