lat,lon,
40.74931,-73.82132,
40.77016,-73.82417,
40.74106,-73.85809,
40.76192,-73.82026,
40.74419,-73.72532,
40.70772,-73.82755,
40.71989,-73.76596,
40.71725,-73.83368,
40.78216,-73.78451,
40.75661,-73.92014,
40.77829,-73.78164,
40.77829,-73.78164,
40.76569,-73.72533,
40.78298,-73.80104,
40.72995,-73.80825,
40.759,-73.8196,
40.72325,-73.85762,
40.72983,-73.8502,
40.71193,-73.82636,
40.70535,-73.83462,
40.70838,-73.82901,
40.72036,-73.76499,
40.73797,-73.88013,
40.71659,-73.81611,
40.75644,-73.87379,
40.73376,-73.74243,
40.71425,-73.88683,
40.78649,-73.7805,
40.76084,-73.75924,
40.72703,-73.84975,
40.75152,-73.88339,
40.76779,-73.74747,
40.66743,-73.84793,
40.70602,-73.85489,
40.77382,-73.82829,
40.74917,-73.9406,
40.74917,-73.9406,
40.738,-73.74315,
40.78232,-73.7835,
40.78395,-73.77495,
40.77944,-73.78276,
40.75126,-73.8814,
40.66681,-73.84719,
40.75785,-73.72963,
40.72532,-73.85447,
40.67503,-73.73446,
40.73693,-73.85776,
40.75129,-73.72117,
40.67673,-73.73305,
40.72496,-73.85417,
40.7742,-73.82567,
40.73762,-73.85629,
40.75666,-73.82437,
40.76282,-73.81953,
40.71243,-73.81199,
40.75718,-73.7296,
40.6655,-73.84787,
40.74699,-73.75367,
40.76569,-73.72533,
40.73147,-73.8527,
40.72756,-73.85344,
40.70501,-73.82399,
40.74664,-73.74721,
40.71937,-73.76765,
40.71354,-73.79027,
40.72288,-73.84889,
40.73928,-73.92298,
40.78498,-73.77678,
40.70878,-73.83677,
40.74917,-73.9406,
40.6674,-73.84701,
40.76564,-73.78147,
40.67752,-73.73362,
40.73407,-73.74145,
40.66523,-73.84809,
40.76569,-73.72533,
40.75749,-73.90724,
40.73064,-73.81694,
40.73039,-73.8317,
40.71319,-73.78875,
40.7102,-73.90515,
40.66762,-73.84581,
40.78219,-73.79944,
40.74682,-73.86468,
40.78395,-73.77495,
40.75471,-73.83063,
40.72275,-73.76245,
40.76397,-73.81816,
40.72165,-73.8537,
40.73501,-73.86547,
40.72288,-73.84889,
40.74153,-73.90179,
40.69943,-73.85182,
40.71009,-73.83081,
40.75776,-73.87644,
40.66714,-73.84563,
40.71872,-73.81133,
40.73976,-73.75772,
40.71248,-73.81869,
40.75152,-73.88339,
40.71872,-73.83588,
40.74542,-73.75638,
40.77815,-73.78207,
40.75471,-73.83063,
40.75274,-73.89216,
40.75338,-73.71482,
40.72826,-73.85133,
40.73153,-73.84372,
40.75799,-73.73406,
40.75172,-73.88169,
40.72913,-73.82926,
40.77539,-73.82636,
40.7188,-73.81796,
40.7391,-73.75213,
40.76621,-73.81889,
40.72013,-73.83984,
40.74856,-73.71703,
40.77795,-73.78014,
40.67714,-73.73319,
40.7485,-73.71792,
40.72288,-73.84889,
40.66633,-73.84543,
40.74002,-73.75486,
40.76948,-73.93465,
40.7527,-73.88841,
40.73598,-73.74455,
40.75272,-73.88461,
40.73529,-73.8225,
40.7594,-73.90575,
40.72146,-73.85566,
40.71335,-73.81631,
40.71738,-73.80898,
40.72678,-73.85878,
40.70603,-73.80023,
40.78707,-73.78472,
40.75885,-73.81709,
40.70507,-73.83561,
40.72229,-73.83984,
40.79531,-73.84733,
40.76324,-73.9341,
40.76543,-73.92709,
40.75746,-73.71376,
40.75751,-73.72369,
40.70772,-73.82755,
40.73944,-73.8751,
40.75471,-73.83063,
40.7335,-73.84566,
40.75312,-73.88188,
40.79032,-73.80019,
40.72957,-73.80653,
40.76621,-73.82399,
40.78164,-73.77524,
40.66714,-73.84563,
40.77741,-73.79108,
40.77841,-73.78105,
40.722,-73.76208,
40.75028,-73.88228,
40.70973,-73.81883,
40.73791,-73.74511,
40.78187,-73.78241,
40.75337,-73.74115,
40.74548,-73.75668,
40.71377,-73.87467,
40.71334,-73.81944,
40.72955,-73.82132,
40.76176,-73.7928,
40.74903,-73.89328,
40.73694,-73.77695,
40.75405,-73.82221,
40.78762,-73.78532,
40.66696,-73.8493,
40.71193,-73.82636,
40.71811,-73.84485,
40.75279,-73.88013,
40.73824,-73.74265,
40.74452,-73.75539,
40.73,-73.80698,
40.71982,-73.8388,
40.76533,-73.78255,
40.72863,-73.84953,
40.75658,-73.87766,
40.75624,-73.83331,
40.75169,-73.71995,
40.73962,-73.75365,
40.66864,-73.84952,
40.72642,-73.85773,
40.71924,-73.84993,
40.73352,-73.78014,
40.72354,-73.76387,
40.73,-73.80698,
40.72411,-73.85817,
40.69751,-73.79222,
40.71188,-73.81889,
40.71159,-73.78571,
40.70878,-73.83677,
40.78729,-73.79767,
40.6661,-73.84788,
40.71725,-73.83368,
40.66803,-73.84843,
40.72165,-73.84038,
40.72808,-73.84875,
40.7147,-73.79558,
40.75789,-73.90587,
40.78214,-73.79938,
40.72951,-73.8319,
40.69968,-73.85289,
40.73169,-73.9014,
40.74499,-73.86426,
40.77944,-73.78276,
40.72048,-73.82146,
40.73219,-73.73916,
40.72085,-73.83941,
40.70459,-73.83338,
40.74508,-73.86058,
40.7299,-73.85895,
40.66714,-73.84563,
40.77815,-73.78207,
40.76543,-73.92709,
40.78735,-73.78626,
40.65841,-73.73896,
40.71872,-73.81133,
40.73006,-73.86566,
40.72958,-73.82722,
40.71193,-73.82636,
